Met_id	Met_name	Met_compartment	Met_charge	Met_formula
Liver_MAM03071c	Liver_tRNA(his)	c	0.0	RH
Liver_MAM00104c	Liver_(6Z,9Z)-octadecadienoic acid	c	-1.0	C18H31O2
Liver_MAM00265c	Liver_10,13,16-docosatriynoic acid	c	-1.0	C22H37O2
Liver_MAM02102m	Liver_heptadecenoylcarnitine(7)	m	0.0	C24H45NO4
Liver_MAM02727m	Liver_phosphatidate-CL pool	m	-2.0	C5H5O8PR2
Liver_MAM03081c	Liver_tRNA(tyr)	c	0.0	RH
Liver_MAM01282c	Liver_adenylosuccinate	c	-4.0	C14H14N5O11P
Liver_MAM01427c	Liver_CDP-diacylglycerol-LD-PI pool	c	-2.0	C14H17N3O15P2R2
Liver_MAM02457e	Liver_mead acid	e	-1.0	C20H33O2
Liver_MAM01845c	Liver_fructose-6-phosphate	c	-2.0	C6H11O9P
Liver_MAM00121c	Liver_(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	c	-4.0	C43H64N7O17P3S
Liver_MAM00093c	Liver_(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	c	-4.0	C43H64N7O17P3S
Liver_MAM01771c	Liver_eicosanoate	c	-1.0	C20H39O2
Liver_MAM01373c	Liver_behenic acid	c	-1.0	C22H43O2
Liver_MAM02040x	Liver_H2O	x	0.0	H2O
Liver_MAM00265e	Liver_10,13,16-docosatriynoic acid	e	-1.0	C22H37O2
Liver_MAM02774m	Liver_propanoyl-CoA	m	-4.0	C24H36N7O17P3S
Liver_MAM01992c	Liver_glycogenin G4G7	c	0.0	C1845H2835N455O583S14
Liver_MAM02112x	Liver_hexacosenoyl-CoA	x	-4.0	C47H80N7O17P3S
Liver_MAM10006c	Liver_1-acylglycerol-3P pool	c	-2.0	C4H6O7PR
Liver_MAM01291c	Liver_adrenic acid	c	-1.0	C22H35O2
Liver_MAM01197c	Liver_7-palmitoleic acid	c	-1.0	C16H29O2
Liver_MAM02633m	Liver_OAA	m	-2.0	C4H2O5
Liver_MAM01432c	Liver_cerotic acid	c	-1.0	C26H51O2
Liver_MAM02759c	Liver_PPi	c	-3.0	HO7P2
Liver_MAM01261c	Liver_acetyl-CoA	c	-4.0	C23H34N7O17P3S
Liver_MAM00800c	Liver_3-hydroxytetracosanoyl-CoA	c	-4.0	C45H78N7O18P3S
Liver_MAM01597x	Liver_CoA	x	-4.0	C21H32N7O16P3S
Liver_MAM02106c	Liver_heptanoyl-[ACP]	c	-1.0	C18H33N2O8PRS
Liver_MAM02125c	Liver_histidine	c	0.0	C6H9N3O2
Liver_MAM03069c	Liver_tRNA(glu)	c	0.0	RH
Liver_MAM00791c	Liver_3-hydroxynonanoyl-[ACP]	c	-1.0	C20H37N2O9PRS
Liver_MAM02456c	Liver_margaric acid	c	-1.0	C17H33O2
Liver_MAM02976m	Liver_tetradecenoylcarnitine(9)	m	0.0	C21H39NO4
