IEM	Gene	Gene_Recon	met_Human-GEM	met_Human2	met_Human1	met_Recon3D_301	In_Vivo
SLC3A1-related Cystinuria type A 	ENSG00000138079	6519.1	MAM01629	MAM01629	m01629	Lcystin	increase
SLC3A1-related Cystinuria type A 	ENSG00000138079	6519.1	MAM02658	MAM02658	m02658	orn	increase
SLC2A1-related Glucose transporter 1 deficiency 	ENSG00000117394	6513.1	MAM01965	MAM01965	m01965	glc_D	decrease
SLC2A2-related Glucose transporter 2 deficiency 	ENSG00000163581	6514.1	MAM01965	MAM01965	m01965	glc_D	increase
SLC5A1-related Intestinal sodium-glucose cotransporter 1 deficiency 	ENSG00000100170	6523.1	MAM01965	MAM01965	m01965	glc_D	increase
SLC1A1-related Dicarboxylic aminoaciduria 	ENSG00000106688	6505.1	MAM01974	MAM01974	m01974	glu_L	increase
PFKM-related Muscle phosphofructokinase deficiency 	ENSG00000152556	5213.1	MAM01396	MAM01396	m01396	bilirub	increase
QDPR-related Tetrahydrobiopterin deficiency (DHPR) 	ENSG00000151552	5860.1	MAM01103	MAM01103	m01103	5hoxindoa	decrease
QDPR-related Tetrahydrobiopterin deficiency (DHPR) 	ENSG00000151552	5860.1	MAM02137	MAM02137	m02137	homoval	decrease
ALDOA-related Aldolase A deficiency 	ENSG00000149925	"226.2, 226.3, 226.1"	MAM01396	MAM01396	m01396	bilirub	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM01986	MAM01986	m01986	gly	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM02658	MAM02658	m02658	orn	increase
SLC7A7-related Lysinuric protein intolerance 	ENSG00000155465	9056.1	MAM02579	MAM02579	m02579	nh4	increase
PEPD-related Prolidase deficiency 	ENSG00000124299	5184.1	MAM02770	MAM02770	m02770	pro_L	increase
SLC52A3-related Fazio-Londe syndrome 	ENSG00000101276	113278.1	MAM02348	MAM02348	m02348	crn	decrease
BCKDHA-related Branched-chain ketoacid dehydrogenase E1 alpha deficiency 	ENSG00000248098	593.1	MAM02579	MAM02579	m02579	nh4	increase
"MTHFD1-related 5,10-Methylene-tetrahydrofolate dehydrogenase deficiency "	ENSG00000100714	4522.1	MAM02133	MAM02133	m02133	hcys_L	increase
ABCC2-related Canalicular bilirubin glucuronide transporter deficiency 	ENSG00000023839	1244.1	MAM01396	MAM01396	m01396	bilirub	increase
IVD-related Isovaleryl-CoA dehydrogenase deficiency 	ENSG00000128928	3712.1	MAM02348	MAM02348	m02348	crn	increase
IVD-related Isovaleryl-CoA dehydrogenase deficiency 	ENSG00000128928	3712.1	MAM02579	MAM02579	m02579	nh4	increase
