Mets	DemandValue
MAM03536u	
MAM03537u	
MAM03642u	-8.027136
MAM03643u	-8.027136
MAM02120u	-141.9507181
MAM01111u	-0.00848672
MAM01966u	-26.10528968
MAM01730u	-4.191298648
MAM00613u	0
MAM03315u	0
MAM01638u	-0.1
MAM00580u	0
MAM01771u	0
MAM01398u	-0.00424336
MAM01614u	-0.00424336
MAM01517u	
MAM01525u	0
MAM01533u	
MAM01543u	0
MAM01554u	
MAM01778u	-4.013568
MAM00097u	-91.8383936
MAM02041u	-16.95817865
MAM02141u	-4.013568
MAM02139u	-4.013568
MAM02046u	-9509.636858
MAM02054u	0
MAM02167u	0
MAM02288u	0
MAM02303u	0
MAM02362u	-26.07103745
MAM02366u	-2.006784
MAM02418u	-30.10176
MAM02370u	
MAM00104u	0
MAM01932u	-14.32884067
MAM00816u	-12.040704
MAM02564u	-370.4832
MAM02631u	0
MAM02744u	0
MAM02769u	0
MAM02783u	-23.30773666
MAM02834u	0
MAM01232u	0
MAM00291u	0
MAM02833u	-3.602702865
MAM02836u	-3.602702865
MAM00179u	0
MAM02928u	0
MAM02930u	
MAM02939u	-4.013568
MAM02983u	-8.027136
MAM03100u	-16.054272
MAM03106u	0
MAM03114u	0
MAM03142u	0
MAM00432u	0
MAM01446u	0
MAM01447u	-7.252816812
MAM01448u	-4.013568
MAM00969u	-33.02742665
MAM01690u	0
MAM01802u	-8.027136
MAM02042u	
MAM01913u	0
MAM02814u	0
MAM02949u	0
MAM02794u	-23.30773666
MAM02795u	-27.32130466
MAM02966u	0
MAM02004u	0
MAM03129u	0
MAM02995u	0
MAM02777u	-31.33487266
MAM02779u	-31.33487266
MAM02781u	-31.33487266
MAM02925u	-0.00212168
MAM02922u	-4.013568
MAM02920u	-4.013568
MAM02924u	-0.00212168
MAM02921u	-4.013568
MAM01315u	-5.02120336
MAM02096u	-4.013568
MAM03489u	-4.013568
MAM03490u	0
MAM03499u	0
MAM03502u	-13.68485422
MAM01583u	-4.013568
MAM03715u	-0.501696
MAM02964u	
MAM01828u	-10
MAM03103u	0
MAM02559u	0
MAM00674u	0
MAM01644u	-4.013568
MAM02912u	0
MAM02696u	0
MAM03150u	0
MAM00913u	-4.013568
MAM03109u	-1.813052078
MAM02585u	0
MAM02660u	0
MAM00105u	
MAM02639u	-33.86510924
MAM02940u	
MAM02676u	
MAM01209u	-4.013568
MAM00380u	0
MAM01892u	-23.30773666
MAM00605u	-0.00424336
MAM03247u	0
MAM01042u	-4.013568
MAM03401u	0
MAM03433u	0
MAM01399u	0
MAM00337u	-4.013568
MAM01335u	-31.06143557
MAM00279u	-4.013568
MAM00366u	-4.013568
MAM01216u	-4.013568
MAM00384u	0
MAM00376u	-4.013568
MAM00365u	0
MAM03562u	-4.013568
MAM00126u	-4.013568
MAM03654u	
MAM02132u	0
MAM03681u	0
MAM02122u	8.27E-10
MAM02413u	0
MAM02173u	-4.013568
MAM02497u	-14.50692932
MAM03399u	0
MAM03862u	0
MAM03232u	0
MAM03396u	0
MAM01584u	-4.013568
MAM03619u	0
MAM02350u	-4.013568
MAM00400u	0
MAM01698u	-42.30633149
MAM03394u	0
MAM01610u	0
MAM01612u	0
MAM01613u	0
MAM01712u	0
MAM01801u	0
MAM01954u	0
MAM01955u	0
