Mets	DemandValue
MAM00816bc	-11.114496
MAM03765bc	0
MAM03777bc	0
MAM03778bc	0
MAM01740bc	0
MAM03838bc	0
MAM03839bc	0
MAM03841bc	0
MAM03842bc	0
MAM03845bc	0
MAM03855bc	0
MAM02746bc	0
MAM03886bc	-93.45014309
MAM02785bc	-714.8215467
MAM02690bc	0
MAM01232bc	0
MAM02836bc	
MAM01651bc	0
MAM02907bc	0
MAM00179bc	-13.85839393
MAM03955bc	-17.56322593
MAM03957bc	0
MAM03962bc	-204.5729583
MAM03963bc	-204.5729583
MAM03965bc	-198.5729583
MAM00114bc	0
MAM00135bc	-5856.63711
MAM00111bc	-2853.825747
MAM00132bc	-5258.229889
MAM03996bc	-285.6478375
MAM02998bc	-0.000603714
MAM03997bc	-7.409664
MAM02517bc	0
MAM03052bc	-0.000804952
MAM04042bc	0
MAM03100bc	-14.819328
MAM04057bc	0
MAM04058bc	0
MAM01585bc	-2716.933754
MAM04072bc	-3.704832
MAM01178bc	-7.906895747
MAM04076bc	0
MAM04079bc	0
MAM04080bc	0
MAM01447bc	
MAM00613bc	
MAM02986bc	0
MAM00734bc	0
MAM03682bc	-27.94777723
MAM01050bc	-2192.590344
MAM00385bc	0
MAM02766bc	0
MAM00314bc	0
MAM03692bc	0
MAM03710bc	0
MAM01359bc	
MAM03707bc	0
MAM03708bc	0
MAM03314bc	0
MAM03645bc	0
MAM03644bc	0
MAM01180bc	0
MAM01442bc	-22533.44992
MAM01744bc	0
MAM01334bc	-380.3263347
MAM01413bc	4.06E-11
MAM03130bc	0
MAM02452bc	0
MAM03157bc	0
MAM02782bc	0
MAM02784bc	0
MAM02788bc	0
MAM02790bc	0
MAM02792bc	0
MAM02147bc	-22270.9072
MAM01087bc	0
MAM00378bc	0
MAM02891bc	
MAM01747bc	0
MAM01980bc	
MAM02900bc	-8.10E-11
MAM02901bc	0
MAM02839bc	-0.000804952
MAM03329bc	0
MAM03976bc	0
MAM01603bc	-459.4166444
MAM01742bc	0
MAM03614bc	0
MAM03188bc	0
MAM02467bc	0
MAM01674bc	0
MAM02741bc	0
MAM01350bc	-1.093157945
MAM01351bc	-0.103524201
MAM01353bc	-4.441539767
MAM01354bc	-3.105726029
MAM01355bc	-1.821929909
MAM03647bc	0
MAM01600bc	0
MAM02278bc	0
MAM02510bc	0
MAM01179bc	0
MAM00979bc	0
MAM00764bc	0
MAM03837bc	0
MAM03836bc	0
MAM01997bc	0
MAM03701bc	0
MAM02583bc	
MAM03684bc	0
