Mets	DemandValue
MAM03227bc	0
MAM03287bc	0
MAM03575bc	0
MAM03981bc	-296.942417812931
MAM03657bc	-0.219722101670251
MAM03568bc	-13.3230219315476
MAM02181bc	-0.0404361614775369
MAM02534bc	-0.00424336024625616
MAM01303bc	-14.9470808327897
MAM00981bc	-11.2103106247164
MAM02942bc	0
MAM00324bc	0
MAM00428bc	0
MAM02933bc	-0.154368000008011
MAM00971bc	-0.00424336022195915
MAM01660bc	-0.00424336025025696
MAM00399bc	-0.00424336024625634
MAM01064bc	-0.00424336024625634
MAM01065bc	-0.00424336022195933
MAM01790bc	0
MAM00650bc	0
MAM00649bc	-8.09690092751225e-11
MAM00660bc	-2.32169145020222e-11
MAM00659bc	-2.32169145020222e-11
MAM00295bc	-0.00424336019381917
MAM00294bc	-0.00424336024625616
MAM02763bc	0
MAM01504bc	0
MAM02762bc	-0.00424336024625634
MAM00610bc	0
MAM00623bc	0
MAM00619bc	0
MAM01675bc	0
MAM01512bc	0
MAM00350bc	0
MAM01231bc	0
MAM00727bc	-7.72217890311331
MAM01039bc	-41.7406597028712
MAM00293bc	-60.4094653110055
MAM02134bc	-7.4735404164006
MAM01927bc	0
MAM02518bc	-353.921540542971
MAM01113bc	-5.4657897255907
MAM03088bc	-5.46578972622163
MAM02752bc	
MAM02875bc	0
MAM03125bc	0
MAM01604bc	-18.6564184362458
MAM02601bc	-116.828891956179
MAM02756bc	0
MAM00248bc	-28.272784766646
MAM02473bc	
MAM02771bc	0
MAM02870bc	0
MAM02425bc	-80.3041522930492
MAM01759bc	0
MAM02441bc	-0.00424336024625634
MAM02929bc	
MAM02117bc	0
MAM02166bc	-116.828891956112
MAM01110bc	-5.46578972652
MAM01045bc	
MAM02803bc	-65.4607205745998
MAM01332bc	0
MAM02823bc	-18.66359200445
MAM02927bc	-8.68264846875754
MAM02503bc	
MAM01220bc	0
MAM01841bc	-46.4147051157384
MAM03564bc	
MAM03563bc	
MAM01138bc	
MAM01154bc	0
MAM00231bc	
MAM01972bc	-184.132896419151
MAM03197bc	
MAM02750bc	0
MAM00308bc	-0.00424336024625616
MAM01139bc	-0.0299519999999993
MAM01904bc	0
MAM03635bc	0
MAM03206bc	-53.568055523271
MAM03207bc	-57.4128044485308
MAM03208bc	-65.5796092282357
MAM03503bc	-55.3036129635467
MAM03504bc	-58.5112449970865
MAM03508bc	-51.1995803473289
MAM03509bc	-51.1995803473889
MAM03536bc	-60.2793575975854
MAM03537bc	-60.2793576001882
MAM03538bc	-62.6372620107278
MAM03587bc	-70.8606674852514
MAM03588bc	-76.5071250117406
MAM03589bc	-60.9094588607247
MAM03637bc	0
MAM03642bc	-54.2253553973259
MAM03643bc	-54.225355395198
MAM03685bc	-59.8339472372848
MAM03962bc	-66.4999193498085
MAM03963bc	-69.4249451362069
MAM03965bc	-55.8487979929118
MAM03996bc	-67.4651718437273
MAM04042bc	0
MAM04058bc	0
MAM02120bc	-1272.19705719063
MAM00635bc	-28.3116740627935
MAM01111bc	-0.0127300807387685
MAM01966bc	-0.0149759999999999
MAM01730bc	-21.9273325697343
MAM00517bc	0
MAM00519bc	0
MAM00674bc	-56.0557964841575
MAM00739bc	0
MAM03209bc	0
MAM03212bc	0
MAM03214bc	-8.85540957982175
MAM00807bc	0
MAM03246bc	0
MAM03258bc	-10.4805367136021
MAM03260bc	-10.626491495828
MAM03270bc	0
MAM03277bc	0
MAM01922bc	0
MAM01073bc	0
MAM03281bc	0
MAM03282bc	-0.0299519999999993
MAM03283bc	-20.7501053169044
MAM01101bc	0
MAM03310bc	0
MAM03311bc	0
MAM03315bc	0
MAM01040bc	-139.544604636431
MAM02096bc	-3.73677020817408
MAM02796bc	0
MAM00305bc	-518.702464255088
MAM01134bc	0
MAM02925bc	-0.00212168012312808
MAM02921bc	-3.73677020817408
MAM02922bc	-3.73677020817408
MAM02920bc	-3.73677020817408
MAM02654bc	0
MAM02603bc	-7.69222760217097
MAM02995bc	-122.494389809513
MAM02402bc	0
MAM02965bc	0
MAM02000bc	0
MAM02951bc	0
MAM02952bc	0
MAM02776bc	-157.640605155185
MAM02778bc	-5.24376098098855e-11
MAM02779bc	0
MAM02780bc	0
MAM02781bc	0
MAM01989bc	0
MAM03399bc	0
MAM02902bc	-9.47559638518308
MAM02903bc	-9.47559638510566
MAM02546bc	-949.938380636064
MAM03407bc	0
MAM01291bc	-0.0593608156623882
MAM01344bc	0
MAM01326bc	0
MAM00002bc	0
MAM01640bc	0
MAM02123bc	0
MAM01380bc	
MAM01385bc	0
MAM01741bc	-169.254448172834
MAM01601bc	0
MAM03512bc	0
MAM01609bc	0
MAM01610bc	0
MAM01612bc	0
MAM01613bc	0
MAM02145bc	0
MAM01648bc	-302.037587035749
MAM00094bc	-116.29035664114
MAM01696bc	-287.462209570976
MAM01768bc	0
MAM00577bc	0
MAM01373bc	0
MAM03560bc	-25.4376700649538
MAM03565bc	-7.4735404164006
MAM01712bc	0
MAM01765bc	0
MAM02150bc	0
MAM01767bc	0
MAM02648bc	0
MAM02164bc	-11.7089135963879
MAM02199bc	-13.1816730558461
MAM03577bc	0
MAM01851bc	0
MAM01853bc	0
MAM03578bc	-11.7089135963259
MAM02331bc	0
MAM01861bc	-11.7089135964568
MAM03585bc	0
MAM01943bc	0
MAM03615bc	0
MAM02010bc	0
MAM02018bc	0
MAM02019bc	0
MAM02028bc	0
MAM02030bc	0
MAM02139bc	-253.657622710348
MAM01432bc	-256.591205397625
MAM03660bc	-92.0068374745691
MAM02456bc	0
MAM02174bc	-0.00241485599999947
MAM03691bc	0
MAM03704bc	0
MAM03709bc	0
MAM02385bc	-53.3118965579197
MAM00816bc	-11.2103106246329
MAM03765bc	0
MAM03777bc	0
MAM03778bc	0
MAM01740bc	0
MAM03838bc	0
MAM03839bc	0
MAM03841bc	0
MAM03842bc	0
MAM03845bc	0
MAM03855bc	0
MAM02746bc	0
MAM03886bc	-85.4194968008297
MAM02785bc	-157.640605155241
MAM02690bc	0
MAM01232bc	0
MAM02836bc	0
MAM01651bc	0
MAM02907bc	0
MAM00179bc	0
MAM03955bc	-17.7108191596435
MAM03957bc	0
MAM00114bc	0
MAM00135bc	-156.13788129038
MAM00111bc	-126.739941320908
MAM00132bc	-164.45900775578
MAM02998bc	-0.000603714000000144
MAM03997bc	-3.77071709014413
MAM02517bc	0
MAM03052bc	-0.000804952000000081
MAM03100bc	-14.9470808328012
MAM04057bc	0
MAM01585bc	-374.959173355022
