cellLine	TP	TN	FP	FN	accuracy	sensitivity	specificity	F1	MCC
ACH-000512	141	2239	154	238	0.858585858585859	0.372031662269129	0.935645633096532	0.41839762611276	0.342777567300686
ACH-000047	134	2286	157	195	0.873015873015873	0.407294832826748	0.935734752353664	0.432258064516129	0.361935667953185
ACH-000824	95	2364	169	144	0.887085137085137	0.397489539748954	0.933280694828267	0.377733598409543	0.316284010550129
ACH-000746	136	2298	151	187	0.878066378066378	0.421052631578947	0.938342180481829	0.445901639344262	0.378497759025236
ACH-000748	89	2336	205	142	0.874819624819625	0.385281385281385	0.919323101141283	0.339047619047619	0.273413718768501
ACH-000865	104	2340	179	149	0.881673881673882	0.411067193675889	0.92894005557761	0.388059701492537	0.323412539789757
ACH-000086	115	2305	183	169	0.873015873015873	0.404929577464789	0.926446945337621	0.395189003436426	0.324412899712288
ACH-000657	115	2316	168	173	0.876984126984127	0.399305555555556	0.932367149758454	0.402802101576182	0.334253610223277
ACH-000259	116	2322	162	172	0.879509379509379	0.402777777777778	0.934782608695652	0.409893992932862	0.342888478531539
ACH-000693	127	2282	178	185	0.869047619047619	0.407051282051282	0.927642276422764	0.411669367909238	0.33803191840015
ACH-000913	110	2325	154	183	0.878427128427128	0.37542662116041	0.937878176684147	0.394973070017953	0.328150741257796
ACH-000123	117	2303	173	179	0.873015873015873	0.39527027027027	0.930129240710824	0.399317406143345	0.328350879655634
ACH-000329	118	2305	159	190	0.874098124098124	0.383116883116883	0.935470779220779	0.403418803418803	0.333848557248399
ACH-000577	118	2264	156	234	0.859307359307359	0.335227272727273	0.935537190082645	0.376996805111821	0.302064146627897
ACH-000487	131	2298	154	189	0.876262626262626	0.409375	0.937194127243067	0.433057851239669	0.364640389817406
ACH-000859	116	2306	150	200	0.873737373737374	0.367088607594937	0.938925081433225	0.398625429553265	0.330192515824457
ACH-000801	119	2300	169	184	0.872655122655123	0.392739273927393	0.931551235317942	0.402707275803723	0.331622552916526
ACH-000911	127	2300	160	185	0.875541125541126	0.407051282051282	0.934959349593496	0.424040066777963	0.354797304966256
ACH-000324	106	2308	181	177	0.870851370851371	0.374558303886926	0.927280032141422	0.371929824561403	0.299968684959797
ACH-000310	112	2328	171	161	0.88023088023088	0.41025641025641	0.931572629051621	0.402877697841727	0.336409103753044
ACH-000620	116	2292	166	198	0.868686868686869	0.369426751592357	0.93246541903987	0.389261744966443	0.31650704820584
ACH-000215	104	2326	187	155	0.876623376623377	0.401544401544402	0.92558694787107	0.378181818181818	0.310604980166266
ACH-000889	138	2297	126	211	0.878427128427128	0.39541547277937	0.947998349153941	0.450244698205546	0.388098051192185
ACH-000696	106	2317	179	170	0.874098124098124	0.384057971014493	0.928285256410256	0.377896613190731	0.307927589597227
