Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	107	9Z,12Z,15Z,18Z-TTA (complete oxidation)		(9Z,12Z,15Z,18Z)-TTA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	108	6Z,9Z,12Z,15Z,18Z-TPA (complete oxidation)		(6Z,9Z,12Z,15Z,18Z)-TPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	109	4Z,7Z,10Z,13Z,16Z-DPA (complete oxidation)		(4Z,7Z,10Z,13Z,16Z)-DPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	110	11Z,14Z-eicosadienoic acid (complete oxidation)		(11Z,14Z)-eicosadienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	111	13Z,16Z-docosadienoic acid (complete oxidation)		(13Z,16Z)-docosadienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	112	10,13,16-docosatriynoic acid (complete oxidation)		10,13,16-docosatriynoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	113	Oxidative phosphorylation		succinate[m]	1.0	1.0	fumarate[m]	1.0	1.0	ATP[m] + H2O[m] => ADP[m] + Pi[m]	1.0						
				NADH[m];H+[m]	1.0	1.0	NAD+[m]	1.0	1.0								
				O2[e]			H2O[e]										
	114	Oxidative decarboxylation		pyruvate[m];NAD+[m];CoA[m]	1.0	1.0	acetyl-CoA[m];NADH[m];H+[m];CO2[e]	1.0	1.0								
	115	Ubiquinol-to-proton		ubiquinol[m]	1.0	1.0	ubiquinone[m]	1.0	1.0								
				O2[e];H+[m]			H2O[e]										
							H+[c]	6.0									
	116	Ubiquinol-to-ATP		ubiquinol[m]		10.0	ALLMETS			ATP[m] + H2O[m] => ADP[m] + Pi[m]	1.0						
