1	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
							Carbon dioxide[e];Urea[e];Water[e]										
	113.0	NAD de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Niacinamide[e]			NADH[c]	1.0									
							Water[e];Carbon dioxide[e]										
	114.0	NADP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Niacinamide[e]			NADPH[c]	1.0									
							Water[e];Carbon dioxide[e]										
	115.0	FAD de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Riboflavin[e]			FAD[c]	1.0									
							Water[e];Carbon dioxide[e]										
	116.0	Thioredoxin de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Histidine[e];L-Isoleucine[e];L-Leucine[e];L-Lysine[e];L-Methionine[e];L-Phenylalanine[e];L-Threonine[e];L-Tryptophan[e];L-Valine[e]			Water[e];Carbon dioxide[e];Urea[e];Hydrogen sulfide[e]										
							Reduced Thioredoxin[c]	1.0									
	117.0	THF de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Folic acid[e]			Water[e];Carbon dioxide[e]										
							Tetrahydrofolic acid[c]	1.0									
	118.0	Pyridoxal-P de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Pyridoxine[e]			Water[e];Carbon dioxide[e]										
							Pyridoxal 5'-phosphate[c]	1.0									
	119.0	Acetoacetate de novo synthesis and excretion		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]										
							Acetoacetic acid[e]	1.0									
	120.0	(R)-3-Hydroxybutanoate de novo synthesis		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]										
							(R)-3-Hydroxybutyric acid[c]	1.0									
	121.0	Farnesyl-PP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Phenylalanine[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Farnesyl pyrophosphate[c]	1.0									
	122.0	Lauric acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Dodecanoic acid[c]	1.0									
	123.0	Tridecylic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							Tridecanoic acid[c]	1.0									
	124.0	Myristic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							myristic acid[c]	1.0									
	125.0	9E-tetradecenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							9E-Tetradecenoic Acid (N-C14:1)[c]	1.0									
	126.0	7Z-tetradecenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							7Z-tetradecenoic acid[c]	1.0									
	127.0	Physeteric acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							5Z-Tetradecenoic acid[c]	1.0									
