Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	75.0	IMP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							IMP[c]	1.0									
	76.0	Xanthosine-5P synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							xanthosine-5-phosphate[c]	1.0									
	77.0	GMP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							GMP[c]	1.0									
	78.0	GTP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							GTP[c]	1.0									
	79.0	Uracil synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							uracil[c]	1.0									
	80.0	Uridine synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							uridine[c]	1.0									
	81.0	UMP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							UMP[c]	1.0									
	82.0	UDP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							UDP[c]	1.0									
	83.0	Cytidine synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							cytidine[c]	1.0									
	84.0	CMP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							CMP[c]	1.0									
	85.0	CDP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							CDP[c]	1.0									
	86.0	dCDP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							dCDP[c]	1.0									
	87.0	Guanine synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							guanine[c]	1.0									
