Met_id	Met_old_id	Met_name	Met_compartment	Met_charge	Met_formula
sIEC_MAM01383bpI	sIEC_ala_B[bpI]	beta-Alanine	bpI	0	C3H7NO2
sIEC_MAM01327bpI	sIEC_avite1[bpI]	Alpha-Tocopherol	bpI	0	C29H50O2
sIEC_MAM01442bpI	sIEC_cl[bpI]	Chloride ion	bpI	-1	Cl
sIEC_MAM01822bpI	sIEC_fe3[bpI]	Fe3+	bpI	3	Fe
sIEC_MAM01840bpI	sIEC_fru[bpI]	D-Fructose	bpI	0	C6H12O6
sIEC_MAM01910bpI	sIEC_gal[bpI]	D-Galactose	bpI	0	C6H12O6
sIEC_MAM01962bpI	sIEC_gam[bpI]	Glucosamine	bpI	1	C6H14NO5
sIEC_MAM01988bpI	sIEC_gchola[bpI]	Glycocholic acid	bpI	0	C26H43NO6
sIEC_MAM01965bpI	sIEC_glc_D[bpI]	D-Glucose	bpI	0	C6H12O6
sIEC_MAM02038bpI	sIEC_gsn[bpI]	Guanosine	bpI	0	C10H13N5O5
sIEC_MAM02040bpI	sIEC_h2o[bpI]	Water	bpI	0	H2O
sIEC_MAM02675bpI	sIEC_hdcea[bpI]	Palmitoleic acid	bpI	-1	C16H29O2
sIEC_MAM02170bpI	sIEC_ins[bpI]	Inosine	bpI	0	C10H12N4O5
sIEC_MAM02200bpI	sIEC_k[bpI]	Potassium	bpI	1	K
sIEC_MAM02403bpI	sIEC_lac_L[bpI]	L-Lactic acid	bpI	-1	C3H5O3
sIEC_MAM03715bpI	sIEC_leuleu[bpI]	Leucylleucine	bpI	0	C12H24N2O3
sIEC_MAM02387bpI	sIEC_lnlc[bpI]	Linoleic acid	bpI	-1	C18H31O2
sIEC_MAM02389bpI	sIEC_lnlnca[bpI]	Alpha-Linolenic acid	bpI	-1	C18H29O2
sIEC_MAM01932bpI	sIEC_lnlncg[bpI]	Gamma-Linolenic acid	bpI	-1	C18H29O2
sIEC_MAM00656bpI	sIEC_lpchol_hs[bpI]	1-Acyl-Sn-Glycero-3-Phosphocholine	bpI	0	C8H19NO5PFULLRCO2
sIEC_MAM02426bpI	sIEC_lys_L[bpI]	L-Lysine	bpI	1	C6H15N2O2
sIEC_MAM02453bpI	sIEC_man[bpI]	D-Mannose	bpI	0	C6H12O6
sIEC_MAM02586bpI	sIEC_nac[bpI]	Nicotinic acid	bpI	-1	C6H4NO2
sIEC_MAM02583bpI	sIEC_ncam[bpI]	Niacinamide	bpI	0	C6H6N2O
sIEC_MAM02646bpI	sIEC_ocdcea[bpI]	Oleic acid	bpI	-1	C18H33O2
sIEC_MAM02642bpI	sIEC_octa[bpI]	Caprylic acid	bpI	-1	C8H15O2
sIEC_MAM02658bpI	sIEC_orn[bpI]	Ornithine	bpI	1	C5H13N2O2
sIEC_MAM02684bpI	sIEC_pchol_hs[bpI]	Phosphatidylcholine	bpI	0	C8H18NO4PFULLRCO2FULLR2CO2
sIEC_MAM02744bpI	sIEC_phyQ[bpI]	Vitamin K1	bpI	0	C31H46O2
sIEC_MAM02751bpI	sIEC_pi[bpI]	Phosphate	bpI	-2	HO4P
sIEC_MAM02680bpI	sIEC_pnto_R[bpI]	Pantothenic acid	bpI	-1	C9H16NO5
sIEC_MAM02812bpI	sIEC_ptrc[bpI]	Putrescine	bpI	2	C4H14N2
sIEC_MAM02815bpI	sIEC_pydam[bpI]	Pyridoxamine	bpI	1	C8H13N2O2
sIEC_MAM02813bpI	sIEC_pydx[bpI]	Pyridoxal	bpI	0	C8H9NO3
sIEC_MAM02817bpI	sIEC_pydxn[bpI]	Pyridoxine	bpI	0	C8H11NO3
sIEC_MAM03102bpI	sIEC_q10h2[bpI]	QH2	bpI	0	C59H92O4
sIEC_MAM02833bpI	sIEC_retn[bpI]	All-trans-retinoic acid	bpI	-1	C20H27O2
sIEC_MAM02843bpI	sIEC_rib_D[bpI]	D-Ribose	bpI	0	C5H10O5
sIEC_MAM02842bpI	sIEC_ribflv[bpI]	Riboflavin	bpI	0	C17H20N4O6
sIEC_MAM01682bpI	sIEC_sbt_D[bpI]	Sorbitol	bpI	0	C6H14O6
sIEC_MAM02923bpI	sIEC_spmd[bpI]	Spermidine	bpI	3	C7H22N3
sIEC_MAM02926bpI	sIEC_sprm[bpI]	Spermine	bpI	4	C10H30N4
sIEC_MAM02959bpI	sIEC_tag_hs[bpI]	Triglyceride	bpI	0	C3H5FULLRCO2FULLR2CO2FULLR3CO2
sIEC_MAM02961bpI	sIEC_taur[bpI]	Taurine	bpI	0	C2H7NO3S
sIEC_MAM02963bpI	sIEC_tchola[bpI]	Taurocholic acid	bpI	0	C26H45NO7S
sIEC_MAM02982bpI	sIEC_thm[bpI]	Thiamine	bpI	1	C12H17N4OS
sIEC_MAM03121bpI	sIEC_urea[bpI]	Urea	bpI	0	CH4N2O
sIEC_MAM03123bpI	sIEC_uri[bpI]	Uridine	bpI	0	C9H12N2O6
sIEC_MAM01451bpI	sIEC_xolest2_hs[bpI]	Cholesterol Ester	bpI	0	C27H45FULLR2CO2
sIEC_MAM03155bpI	sIEC_xylt[bpI]	D-Xylitol	bpI	0	C5H12O5
sIEC_MAM02049bpI	sIEC_pheme[bpI]	Heme	bpI	-2	C34H30FeN4O4
sIEC_MAM01744bpI	sIEC_ser_D[bpI]	D-Serine	bpI	0	C3H7NO3
MAM02354bp	34dhphe[bp]	L-Dopa	bp	0	C9H11NO4
MAM01115bp	5mthf[bp]	5-Methyltetrahydrofolic acid	bp	-1	C20H24N7O6
MAM03933bp	slfcys[bp]	Cysteine-S-sulfate	bp	-1	C3H8NO5S2
MAM01280bp	adn[bp]	Adenosine	bp	0	C10H13N5O4
MAM01383bp	ala_B[bp]	beta-Alanine	bp	0	C3H7NO2
MAM01638bp	ala_D[bp]	D-Alanine	bp	0	C3H7NO2
MAM01307bp	ala_L[bp]	L-Alanine	bp	0	C3H7NO2
MAM01365bp	arg_L[bp]	L-Arginine	bp	1	C6H15N4O2
MAM01368bp	ascb_L[bp]	Ascorbic acid	bp	-1	C6H7O6
MAM01369bp	asn_L[bp]	L-Asparagine	bp	0	C4H8N2O3
MAM01641bp	asp_D[bp]	D-Aspartate	bp	-1	C4H6NO4
MAM01370bp	asp_L[bp]	L-Aspartic acid	bp	-1	C4H6NO4
MAM01327bp	avite1[bp]	Alpha-Tocopherol	bp	0	C29H50O2
