Metabolite	Measured	Predicted	Cell.Line
alanine	0.032353203	0.045989227035459	HOP92
asparagine	-0.002382279	-0.0001825036339396	HOP92
glutamine	-0.123594044	-0.000442884732951	HOP92
tyrosine	-0.004926558	-0.0001387650203898	HOP92
arginine	-0.012814136	-0.0002491046125942	HOP92
glycine	-0.00039991	-0.0003674091721729	HOP92
proline	0.002435376	-0.000250642713192	HOP92
serine	-0.022222852	-0.0469098191855305	HOP92
aspartate	-0.000494245	-0.0004036109473338	HOP92
glutamate	0.015988165	-0.0003616050864949	HOP92
choline	-0.00136736	-0.0001134595586053	HOP92
ornithine	0.009506915	2.39940420407751e-07	HOP92
pyruvate	1.05e-07	0.0	HOP92
