Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000036473	m02658	increase	-0.0	0
ENSG00000100983	m02369	increase	No_result	No_result
ENSG00000100983	m02366	increase	No_result	No_result
ENSG00000100983	m02418	increase	No_result	No_result
ENSG00000173599	m01253	increase	190.7355	1
ENSG00000173599	m01256	increase	190.7355	1
ENSG00000173599	m01306	increase	851.3815	1
ENSG00000173599	m01307	increase	164.7657	1
ENSG00000173599	m01588	increase	140.7979	1
ENSG00000173599	m02426	increase	19.4596	1
ENSG00000173599	m02770	increase	363.6846	1
ENSG00000173599	m02943	increase	302.2926	1
ENSG00000173599	m01965	decrease	1414.6199	0
ENSG00000173599	m01862	increase	395.6163	1
ENSG00000172482	m02007	increase	-0.0	0
ENSG00000171759	m02724	increase	11.3026	1
ENSG00000171759	m00654	increase	11.3026	1
ENSG00000112294	m01986	increase	45.6272	1
ENSG00000112294	m02942	increase	387.9023	1
ENSG00000112294	m00970	increase	184.2631	1
ENSG00000131979	m02724	increase	4.2948	1
ENSG00000103876	m02471	increase	0.0	0
ENSG00000103876	m01004	increase	29.5195	1
ENSG00000103876	m01005	increase	29.5195	1
ENSG00000158104	m01004	increase	29.5195	1
ENSG00000158104	m01005	increase	29.5195	1
ENSG00000158125	m02159	increase	671.255	1
ENSG00000158125	m03148	increase	577.3507	1
